name,11-10,11-11,11-12,11-13,11-14,11-15,11-16,11-17,11-18,11-19,11-20,11-21,11-22,11-23,11-24,11-25,11-26,11-27,11-28,11-29,11-30
Grammy,19273,24508,35009,27691,36383,970053,713048,232922,175891,56556,40696,54938,27823,26343,23607,23242,29245,23478,11781,10881,22218
Pokémon,175423,585329,474922,232205,242877,251210,331174,361228,500948,415806,383695,363471,296423,264170,252524,244997,221370,236052,243600,230779,206226
Senate,334002,284659,391925,1035279,367265,290031,327578,258440,125170,106548,78722,102936,105774,104822,121141,58628,62208,73767,87362,153396,260413
Russia,272679,317613,284991,248516,276131,646837,664490,387331,261319,248843,267985,245009,262715,359943,319368,244422,223189,245435,250298,247518,254486
Ronaldo,101235,78817,55600,422901,1115471,544900,456329,414677,358639,370797,263919,198722,630360,320618,810345,253896,164788,138438,399007,316197,249643
YET TO COME,44907,33970,31234,32351,41248,554342,333209,98267,56558,43186,33811,62534,71864,53547,59946,31338,27483,30194,41728,95180,184312
Batman,35763,447697,230272,70303,54438,48890,55376,47524,35389,36614,40759,36527,36914,37930,43523,32829,31533,36348,38658,37739,47910
Veterans Day,27623,443105,211138,33410,13361,6957,4616,3824,3648,4204,2255,2669,1964,2366,3646,2077,1424,1237,1197,1303,1280
Qatar,217174,238488,562247,288186,399507,531238,439025,503999,610426,888054,3112615,1596546,1102979,744974,674875,653956,419614,433316,462841,603437,479781
DeSantis,314548,566547,233327,178843,141991,129896,178665,93613,74507,62149,59029,52594,68347,70992,24956,34622,77295,92880,52025,70358,73073
BTS WORLD CUP,5665,2980,281397,217859,57335,23375,4308,24763,44810,224463,870111,179519,205100,46335,24238,12315,13898,9762,9456,7112,5884
Ticketmaster,12580,15700,23596,12578,48143,441180,190545,266854,240248,120541,26511,19201,22802,17993,11330,16812,10510,6323,9818,10240,13258
Album of the Year,21013,22260,18364,14164,13940,466791,217544,20568,30850,17289,9004,26080,7415,9837,8839,7306,24438,19374,13321,13665,459039
Kevin Conroy,27,342702,148661,23752,26828,6346,12997,8747,1395,990,9190,2809,795,454,486,667,363,364,771,299,2317
Poland,19598,43496,21499,17284,19068,562970,703102,174397,69013,65423,41512,33690,181927,52487,32802,31942,139518,41147,29425,32947,275201
ポッキー,191525,909139,248562,73154,37244,26234,17191,14512,10035,11789,11441,10808,8401,7191,7988,9104,18445,8490,6378,5321,4970
Run BTS,37669,8145,32007,398335,202375,274408,303894,247220,138442,59000,38001,52213,222252,152981,42066,36519,25799,113457,56827,135835,75084
Argentina,169888,303652,215378,187340,221616,212836,287546,278054,236349,213489,380768,359727,3035157,651861,332354,377607,1960301,565950,294236,218533,1197720
ARMY WORLD CUP,3639,1822,17426,201781,125537,1074,862,8264,112821,84363,51615,13042,3277,1325,585,606,173,2023,2027,744,108
Messi,98856,122569,118804,160532,256881,187262,270872,184909,204058,392533,355347,280882,1298166,288115,242114,249267,1719515,646831,647219,372346,975099
