name,11-17,11-18,11-19,11-20,11-21,11-22,11-23
Grammy,232922,175891,56556,40696,54938,27823,26343
Pokémon,361228,500948,415806,383695,363471,296423,264170
Senate,258440,125170,106548,78722,102936,105774,104822
Russia,387331,261319,248843,267985,245009,262715,359943
Ronaldo,414677,358639,370797,263919,198722,630360,320618
YET TO COME,98267,56558,43186,33811,62534,71864,53547
Batman,47524,35389,36614,40759,36527,36914,37930
Veterans Day,3824,3648,4204,2255,2669,1964,2366
Qatar,503999,610426,888054,3112615,1596546,1102979,744974
DeSantis,93613,74507,62149,59029,52594,68347,70992
BTS WORLD CUP,24763,44810,224463,870111,179519,205100,46335
Ticketmaster,266854,240248,120541,26511,19201,22802,17993
Album of the Year,20568,30850,17289,9004,26080,7415,9837
Kevin Conroy,8747,1395,990,9190,2809,795,454
Poland,174397,69013,65423,41512,33690,181927,52487
ポッキー,14512,10035,11789,11441,10808,8401,7191
Run BTS,247220,138442,59000,38001,52213,222252,152981
Argentina,278054,236349,213489,380768,359727,3035157,651861
ARMY WORLD CUP,8264,112821,84363,51615,13042,3277,1325
Messi,184909,204058,392533,355347,280882,1298166,288115
